HDI rank,Country,Human Development Index (HDI Value) ,Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,Human Development Groups
31,Estonia,0.89,77.1,15.9,13.5,"38,048",8,Very High
175,Ethiopia,0.498,65.0,9.7,3.2,"2,361",-5,Low
11,Finland,0.94,82.0,19.1,12.9,"49,452",11,Very High
99,Fiji,0.73,67.1,14.7,10.9,"9,980",9,High
28,France,0.903,82.5,15.8,11.6,"45,937",-2,Very High
112,Gabon,0.706,65.8,13.0,9.4,"13,367",-25,High
18,United Kingdom,0.929,80.7,17.3,13.4,"45,225",9,Very High
63,Georgia,0.802,71.7,15.6,12.8,"14,664",17,Very High
133,Ghana,0.632,63.8,12.0,8.3,"5,745",-2,Medium
182,Guinea,0.465,58.9,9.8,2.2,"2,481",-13,Low
174,Gambia,0.5,62.1,9.4,4.6,"2,172",-1,Low
177,Guinea-Bissau,0.483,59.7,10.6,3.6,"1,908",0,Low
145,Equatorial Guinea,0.596,60.6,9.7,5.9,"12,074",-47,Medium
33,Greece,0.887,80.1,20.0,11.4,"29,002",17,Very High
68,Grenada,0.795,74.9,18.7,9.0,"13,484",18,High
135,Guatemala,0.627,69.2,10.6,5.7,"8,723",-20,Medium
108,Guyana,0.714,65.7,12.5,8.6,"22,465",-47,High
137,Honduras,0.621,70.1,10.1,7.1,"5,298",-1,Medium
40,Croatia,0.858,77.6,15.1,12.2,"30,132",8,Very High
163,Haiti,0.535,63.2,9.7,5.6,"2,848",2,Low
46,Hungary,0.846,74.5,15.0,12.2,"32,789",-2,Very High
114,Indonesia,0.705,67.6,13.7,8.6,"11,466",-11,High
132,India,0.633,67.2,11.9,6.7,"6,590",-6,Medium
8,Ireland,0.945,82.0,18.9,11.6,"76,169",-3,Very High
121,Iraq,0.686,70.4,12.1,7.9,"9,977",-12,Medium
3,Iceland,0.959,82.7,19.2,13.8,"55,782",11,Very High
22,Israel,0.919,82.3,16.1,13.3,"41,524",10,Very High
30,Italy,0.895,82.9,16.2,10.7,"42,840",0,Very High
110,Jamaica,0.709,70.5,13.4,9.2,"8,834",4,High
102,Jordan,0.72,74.3,10.6,10.4,"9,924",8,High
19,Japan,0.925,84.8,15.2,13.4,"42,274",12,Very High
56,Kazakhstan,0.811,69.4,15.8,12.3,"23,943",1,Very High
152,Kenya,0.575,61.4,10.7,6.7,"4,474",-6,Medium
118,Kyrgyzstan,0.692,70.0,13.2,11.4,"4,566",26,Medium
146,Cambodia,0.593,69.6,11.5,5.1,"4,079",3,Medium
136,Kiribati,0.624,67.4,11.8,8.0,"4,063",14,Medium
75,Saint Kitts and Nevis,0.777,71.7,15.4,8.7,"23,358",-16,High
50,Kuwait,0.831,78.7,15.3,7.3,"52,920",-32,Very High
112,Lebanon,0.706,75.0,11.3,8.7,"9,526",-1,High
178,Liberia,0.481,60.7,10.4,5.1,"1,289",7,Low
104,Libya,0.718,71.9,12.9,7.6,"15,336",-27,High
106,Saint Lucia,0.715,71.1,12.9,8.5,"12,048",-7,High
16,Liechtenstein,0.935,83.3,15.2,12.5,"146,830",-15,Very High
73,Sri Lanka,0.782,76.4,14.1,10.8,"12,578",21,High
168,Lesotho,0.514,53.1,12.0,6.0,"2,700",-2,Low
35,Lithuania,0.875,73.7,16.3,13.5,"37,931",5,Very High
17,Luxembourg,0.93,82.6,14.4,13.0,"84,649",-13,Very High
39,Latvia,0.863,73.6,16.2,13.3,"32,803",4,Very High
123,Morocco,0.683,74.0,14.2,5.9,"7,303",1,Medium
173,Madagascar,0.501,64.5,10.1,5.1,"1,484",8,Low
90,Maldives,0.747,79.9,12.6,7.3,"15,448",-14,High
86,Mexico,0.758,70.2,14.9,9.2,"17,896",-16,High
131,Marshall Islands,0.639,65.3,10.2,10.9,"4,620",12,Medium
78,North Macedonia,0.77,73.8,13.6,10.2,"15,918",-3,High
186,Mali,0.428,58.9,7.4,2.3,"2,133",-11,Low
23,Malta,0.918,83.8,16.8,12.2,"38,884",12,Very High
149,Myanmar,0.585,65.7,10.9,6.4,"3,851",5,Medium
49,Montenegro,0.832,76.3,15.1,12.2,"20,839",16,Very High
96,Mongolia,0.739,71.0,15.0,9.4,"10,588",9,High
185,Mozambique,0.446,59.3,10.2,3.2,"1,198",2,Low
158,Mauritania,0.556,64.4,9.4,4.9,"5,075",-20,Medium
63,Mauritius,0.802,73.6,15.2,10.4,"22,025",-1,Very High
169,Malawi,0.512,62.9,12.7,4.5,"1,466",13,Low
62,Malaysia,0.803,74.9,13.3,10.6,"26,658",-8,Very High
139,Namibia,0.615,59.3,11.9,7.2,"8,634",-23,Medium
189,Niger,0.4,61.6,7.0,2.1,"1,240",-3,Low
163,Nigeria,0.535,52.7,10.1,7.2,"4,790",-22,Low
126,Nicaragua,0.667,73.8,12.6,7.1,"5,625",6,Medium
10,Netherlands,0.941,81.7,18.7,12.6,"55,979",3,Very High
2,Norway,0.961,83.2,18.2,13.0,"64,660",6,Very High
143,Nepal,0.602,68.4,12.9,5.1,"3,877",10,Medium
13,New Zealand,0.937,82.5,20.3,12.9,"44,057",16,Very High
54,Oman,0.816,72.5,14.6,11.7,"27,054",-2,Very High
161,Pakistan,0.544,66.1,8.7,4.5,"4,624",-19,Low
61,Panama,0.805,76.2,13.1,10.5,"26,957",-8,Very High
84,Peru,0.762,72.4,15.4,9.9,"12,246",13,High
116,Philippines,0.699,69.3,13.1,9.0,"8,920",-3,Medium
80,Palau,0.767,66.0,15.8,12.5,"13,819",5,High
156,Papua New Guinea,0.558,65.4,10.4,4.7,"4,009",-4,Medium
34,Poland,0.876,76.5,16.0,13.2,"33,034",8,Very High
38,Portugal,0.866,81.0,16.9,9.6,"33,155",3,Very High
105,Paraguay,0.717,70.3,13.0,8.9,"12,349",-10,High
106,"Palestine, State of",0.715,73.5,13.4,9.9,"6,583",21,High
42,Qatar,0.855,79.3,12.6,10.0,"87,134",-39,Very High
53,Romania,0.821,74.2,14.2,11.3,"30,027",-4,Very High
52,Russian Federation,0.822,69.4,15.8,12.8,"27,166",-1,Very High
165,Rwanda,0.534,66.1,11.2,4.4,"2,210",6,Low
35,Saudi Arabia,0.875,76.9,16.1,11.3,"46,112",-10,Very High
172,Sudan,0.508,65.3,7.9,3.8,"3,575",-14,Low
170,Senegal,0.511,67.1,9.0,2.9,"3,344",-10,Low
12,Singapore,0.939,82.8,16.5,11.9,"90,919",-10,Very High
155,Solomon Islands,0.564,70.3,10.3,5.7,"2,482",13,Medium
181,Sierra Leone,0.477,60.1,9.6,4.6,"1,622",-1,Low
125,El Salvador,0.675,70.7,12.7,7.2,"8,296",-8,Medium
44,San Marino,0.853,80.9,12.3,10.8,"52,654",-25,Very High
63,Serbia,0.802,74.2,14.4,11.4,"19,123",4,Very High
191,South Sudan,0.385,55.0,5.5,5.7,768,-1,Low
138,Sao Tome and Principe,0.618,67.6,13.4,6.2,"4,021",13,Medium
99,Suriname,0.73,70.3,13.0,9.8,"12,672",-6,High
45,Slovakia,0.848,74.9,14.5,12.9,"30,690",1,Very High
23,Slovenia,0.918,80.7,17.7,12.8,"39,746",10,Very High
7,Sweden,0.947,83.0,19.4,12.6,"54,489",9,Very High
72,Seychelles,0.785,71.3,13.9,10.3,"25,831",-17,High
150,Syrian Arab Republic,0.577,72.1,9.2,5.1,"4,192",-2,Medium
190,Chad,0.394,52.5,8.0,2.6,"1,364",-7,Low
162,Togo,0.539,61.6,13.0,5.0,"2,167",12,Low
66,Thailand,0.8,78.7,15.9,8.7,"17,030",6,Very High
122,Tajikistan,0.685,71.6,11.7,11.3,"4,548",23,Medium
91,Turkmenistan,0.745,69.3,13.2,11.3,"13,021",-1,High
140,Timor-Leste,0.607,67.7,12.6,5.4,"4,461",7,Medium
91,Tonga,0.745,71.0,16.0,11.4,"6,822",34,High
57,Trinidad and Tobago,0.81,73.0,14.5,11.6,"23,392",1,Very High
97,Tunisia,0.731,73.8,15.4,7.4,"10,258",10,High
130,Tuvalu,0.641,64.5,9.4,10.6,"6,351",-2,Medium
166,Uganda,0.525,62.7,10.1,5.7,"2,181",6,Low
77,Ukraine,0.773,71.6,15.0,11.1,"13,256",11,High
58,Uruguay,0.809,75.4,16.8,9.0,"21,269",5,Very High
21,United States,0.921,77.2,16.3,13.7,"64,765",-14,Very High
101,Uzbekistan,0.727,70.9,12.5,11.9,"7,917",18,High
89,Saint Vincent and the Grenadines,0.751,69.6,14.7,10.8,"11,961",11,High
115,Viet Nam,0.703,73.6,13.0,8.4,"7,867",6,High
140,Vanuatu,0.607,70.4,11.5,7.1,"3,085",23,Medium
111,Samoa,0.707,72.8,12.4,11.4,"5,308",24,High
183,Yemen,0.455,63.8,9.1,3.2,"1,314",1,Low
109,South Africa,0.713,62.3,13.6,11.4,"12,948",-17,High
154,Zambia,0.565,61.2,10.9,7.2,"3,218",7,Medium
146,Zimbabwe,0.593,59.3,12.1,8.7,"3,810",9,Medium
